id,time,zhonghnanindown
5448,2016/1/8 21:55,11
5449,2016/1/8 22:00,4
5450,2016/1/8 22:05,9
5451,2016/1/8 22:10,6
5452,2016/1/8 22:15,8
5453,2016/1/8 22:20,14
5454,2016/1/8 22:25,7
5455,2016/1/8 22:30,8
5456,2016/1/8 22:35,13
5457,2016/1/8 22:40,11
5458,2016/1/8 22:45,8
5459,2016/1/8 22:50,5
5460,2016/1/8 22:55,12
5461,2016/1/8 23:00,4
5462,2016/1/8 23:05,4
5463,2016/1/8 23:10,2
5464,2016/1/8 23:15,5
5465,2016/1/8 23:20,9
5466,2016/1/8 23:25,7
5467,2016/1/8 23:30,6
5468,2016/1/8 23:35,6
5469,2016/1/8 23:40,8
5470,2016/1/8 23:45,5
5471,2016/1/8 23:50,2
5472,2016/1/8 23:55,7
5473,2016/1/9 0:00,5
5474,2016/1/9 0:05,3
5475,2016/1/9 0:10,3
5476,2016/1/9 0:15,3
5477,2016/1/9 0:20,2
5478,2016/1/9 0:25,6
5479,2016/1/9 0:30,6
5480,2016/1/9 0:35,5
5481,2016/1/9 0:40,3
5482,2016/1/9 0:45,5
5483,2016/1/9 0:50,2
5484,2016/1/9 0:55,3
5485,2016/1/9 1:00,2
5486,2016/1/9 1:05,1
5487,2016/1/9 1:10,2
5488,2016/1/9 1:15,6
5489,2016/1/9 1:20,2
5490,2016/1/9 1:25,4
5491,2016/1/9 1:30,3
5492,2016/1/9 1:35,2
5493,2016/1/9 1:40,4
5494,2016/1/9 1:45,1
5495,2016/1/9 1:50,1
5496,2016/1/9 1:55,6
5497,2016/1/9 2:00,1
5498,2016/1/9 2:05,2
5499,2016/1/9 2:10,4
5500,2016/1/9 2:15,2
5501,2016/1/9 2:20,7
5502,2016/1/9 2:25,1
5503,2016/1/9 2:30,3
5504,2016/1/9 2:35,4
5505,2016/1/9 2:40,1
5506,2016/1/9 2:45,3
5507,2016/1/9 2:50,4
5508,2016/1/9 2:55,1
5509,2016/1/9 3:00,1
5510,2016/1/9 3:05,1
5511,2016/1/9 3:10,0
5512,2016/1/9 3:15,2
5513,2016/1/9 3:20,1
5514,2016/1/9 3:25,1
5515,2016/1/9 3:30,1
5516,2016/1/9 3:35,1
5517,2016/1/9 3:40,6
5518,2016/1/9 3:45,0
5519,2016/1/9 3:50,2
5520,2016/1/9 3:55,3
5521,2016/1/9 4:00,1
5522,2016/1/9 4:05,3
5523,2016/1/9 4:10,3
5524,2016/1/9 4:15,2
5525,2016/1/9 4:20,2
5526,2016/1/9 4:25,1
5527,2016/1/9 4:30,0
5528,2016/1/9 4:35,2
5529,2016/1/9 4:40,2
5530,2016/1/9 4:45,4
5531,2016/1/9 4:50,4
5532,2016/1/9 4:55,4
5533,2016/1/9 5:00,5
5534,2016/1/9 5:05,4
5535,2016/1/9 5:10,7
5536,2016/1/9 5:15,5
5537,2016/1/9 5:20,7
5538,2016/1/9 5:25,5
5539,2016/1/9 5:30,2
5540,2016/1/9 5:35,8
5541,2016/1/9 5:40,7
5542,2016/1/9 5:45,7
5543,2016/1/9 5:50,4
5544,2016/1/9 5:55,13
5545,2016/1/9 6:00,7
